"subject","L1","current_exposure_L2","ccurrent_exposure_L2","switch_noswitch","WordType","switch_word_len","cswitch_word_len","trial","ctrial","FPGD_switch","lFPGD_switch","TRT_switch","lTRT_switch","FPGD_target","lFPGD_target","TRT_target","lTRT_target","item","switch_word","target_word"
"5","English",15,-0.73304781304801,"Nonswitch","Nonhomograph",6,-0.359021568833035,97,0.58424087293733,NA,NA,NA,NA,198,5.28826703069454,650,6.47697236288968,61,"person","hunter"
"5","English",15,-0.73304781304801,"Nonswitch","Homograph",7,0.0150894417141963,18,-1.19644465753103,334,5.8111409929767,334,5.8111409929767,202,5.30826769740121,202,5.30826769740121,51,"watched","fin"
"5","English",15,-0.73304781304801,"Switch","Nonhomograph",15,3.00797752609205,89,0.403918287573445,487,6.18826412308259,1822,7.5076900778199,336,5.8171111599632,573,6.35088571671474,52,"avait besoin de","corn"
"5","English",15,-0.73304781304801,"Switch","Nonhomograph",6,-0.359021568833035,112,0.922345720494613,373,5.92157841964382,373,5.92157841964382,NA,NA,NA,NA,72,"irrité","hose"
"5","English",15,-0.73304781304801,"Switch","Homograph",11,1.51153348390312,95,0.539160226596359,324,5.78074351579233,509,6.23244801655052,222,5.40267738187228,222,5.40267738187228,60,"sécuritaire","ranger"
"5","English",15,-0.73304781304801,"Nonswitch","Homograph",5,-0.733132579380266,23,-1.0837430416786,NA,NA,NA,NA,NA,NA,NA,NA,43,"liked","chat"
"5","English",15,-0.73304781304801,"Nonswitch","Nonhomograph",8,0.389200452261428,26,-1.01612207216714,377,5.93224518744801,480,6.17378610390194,417,6.0330862217988,476,6.16541785423142,63,"setbacks","dig"
"5","English",15,-0.73304781304801,"Switch","Nonhomograph",10,1.13742247335589,100,0.651861842448786,240,5.48063892334199,240,5.48063892334199,164,5.0998664278242,453,6.11589212548303,50,"surprendre","card"
"5","English",15,-0.73304781304801,"Switch","Nonhomograph",8,0.389200452261428,37,-0.768178517291803,743,6.61069604471776,743,6.61069604471776,264,5.57594910314632,451,6.11146733950268,58,"vacances","penguin"
"5","English",15,-0.73304781304801,"Switch","Homograph",6,-0.359021568833035,56,-0.339912377052578,NA,NA,NA,NA,143,4.96284463025991,143,4.96284463025991,46,"choses","lever"
"6","English",50,0.971701025890948,"Switch","Nonhomograph",5,-0.733132579380266,60,-0.249751084370635,327,5.78996017089725,446,6.10031895202006,NA,NA,NA,NA,71,"avoir","sip"
"6","English",50,0.971701025890948,"Nonswitch","Homograph",5,-0.733132579380266,44,-0.610396255098404,108,4.68213122712422,108,4.68213122712422,244,5.4971682252932,523,6.25958146406492,74,"later","sale"
"6","English",50,0.971701025890948,"Switch","Homograph",11,1.51153348390312,79,0.17851505586859,679,6.5206211275587,847,6.74170069465205,238,5.47227067367148,338,5.82304589548302,71,"raisonnable","ton"
"6","English",50,0.971701025890948,"Nonswitch","Nonhomograph",4,-1.1072435899275,155,1.89157961682549,99,4.59511985013459,99,4.59511985013459,217,5.37989735354046,441,6.08904487544685,70,"well","tire"
"6","English",50,0.971701025890948,"Nonswitch","Homograph",4,-1.1072435899275,67,-0.0919688221772366,316,5.75574221358691,316,5.75574221358691,NA,NA,NA,NA,52,"rest","fort"
"6","English",50,0.971701025890948,"Switch","Nonhomograph",7,0.0150894417141963,125,1.21536992171093,578,6.35957386867238,1731,7.45645455517621,219,5.3890717298165,888,6.78897174299217,55,"préféré","shrimp"
"6","English",50,0.971701025890948,"Switch","Nonhomograph",7,0.0150894417141963,55,-0.362452700223063,416,6.03068526026126,416,6.03068526026126,225,5.41610040220442,225,5.41610040220442,59,"mauvais","broth"
"6","English",50,0.971701025890948,"Nonswitch","Nonhomograph",4,-1.1072435899275,8,-1.42184788923588,NA,NA,NA,NA,239,5.47646355193151,239,5.47646355193151,68,"like","duck"
"6","English",50,0.971701025890948,"Switch","Nonhomograph",7,0.0150894417141963,164,2.09444252535986,232,5.44673737166631,1021,6.92853781816467,298,5.6970934865054,298,5.6970934865054,49,"inquiet","nick"
"6","English",50,0.971701025890948,"Nonswitch","Homograph",7,0.0150894417141963,127,1.2604505680519,181,5.19849703126583,181,5.19849703126583,171,5.14166355650266,171,5.14166355650266,64,"library","pain"
